vol_annualized,kurtosis,mean_tau,p95_tau,avg_r,mechanism,delta,L,seed,p_burst,burst_amp
0.0003054530006464323,-0.23319647487317896,0.0,0.0,0.9999833333333333,off,1,10.0,1,0.0,1.0
0.00030515268792833034,-0.21339224583026084,0.0,0.0,0.9999833333333333,off,1,10.0,2,0.0,1.0
0.00030627070852617304,-0.29778652200207345,0.0,0.0,0.9999833333333333,off,1,10.0,3,0.0,1.0
0.0003044609143376947,-0.34498401452707483,0.0,0.0,0.9999833333333333,off,1,10.0,4,0.0,1.0
0.00030602391926895636,-0.24079920050693548,0.0,0.0,0.9999833333333333,off,1,10.0,5,0.0,1.0
0.0003059244860957615,-0.30411231328611743,0.0,0.0,0.9999833333333333,off,1,10.0,6,0.0,1.0
0.0003045679268407936,-0.3972561513014736,0.0,0.0,0.9999833333333333,off,1,10.0,7,0.0,1.0
0.00030478627672366143,-0.3408782605364342,0.0,0.0,0.9999833333333333,off,1,10.0,8,0.0,1.0
0.0003066915667279155,-0.32746784677815377,0.0,0.0,0.9999833333333333,off,1,10.0,9,0.0,1.0
0.00030642186874863843,-0.2530230520291532,0.0,0.0,0.9999833333333333,off,1,10.0,10,0.0,1.0
0.00030553875377563143,-0.22901879789372037,0.0,0.0,0.9999833333333333,off,1,10.0,11,0.0,1.0
0.00030669354553475775,-0.2707965433547108,0.0,0.0,0.9999833333333333,off,1,10.0,12,0.0,1.0
0.00030585868563570164,-0.27374094636932966,0.0,0.0,0.9999833333333333,off,1,10.0,13,0.0,1.0
0.00030509871732011776,-0.40863119605897236,0.0,0.0,0.9999833333333333,off,1,10.0,14,0.0,1.0
0.000305978183824479,-0.2846376473526693,0.0,0.0,0.9999833333333333,off,1,10.0,15,0.0,1.0
0.0003063131515165983,-0.23058491863085662,0.0,0.0,0.9999833333333333,off,1,10.0,16,0.0,1.0
0.00030679611561901444,-0.22868201383253295,0.0,0.0,0.9999833333333333,off,1,10.0,17,0.0,1.0
0.0003046730402305145,-0.3576125086119357,0.0,0.0,0.9999833333333333,off,1,10.0,18,0.0,1.0
0.00030504087210786554,-0.3730141446473656,0.0,0.0,0.9999833333333333,off,1,10.0,19,0.0,1.0
0.0003059868294055197,-0.33742557757252456,0.0,0.0,0.9999833333333333,off,1,10.0,20,0.0,1.0
0.000307334276352694,-0.2413789393458945,0.0,0.0,0.9999833333333333,off,1,10.0,21,0.0,1.0
0.00030735066535083743,-0.19738517942583833,0.0,0.0,0.9999833333333333,off,1,10.0,22,0.0,1.0
0.00030531932598238217,-0.3654597850698864,0.0,0.0,0.9999833333333333,off,1,10.0,23,0.0,1.0
0.00030698024818057656,-0.19831368883439415,0.0,0.0,0.9999833333333333,off,1,10.0,24,0.0,1.0
0.000305177104388992,-0.32741902873539175,0.0,0.0,0.9999833333333333,off,1,10.0,25,0.0,1.0
0.0003054797102570117,-0.32880168907268015,0.0,0.0,0.9999833333333333,off,1,10.0,26,0.0,1.0
0.000307845409863844,-0.18634260016191773,0.0,0.0,0.9999833333333333,off,1,10.0,27,0.0,1.0
0.00030476566634924605,-0.31269882399298776,0.0,0.0,0.9999833333333333,off,1,10.0,28,0.0,1.0
0.0003053506237805065,-0.3323779975914287,0.0,0.0,0.9999833333333333,off,1,10.0,29,0.0,1.0
0.00030616851178707957,-0.2846598488164065,0.0,0.0,0.9999833333333333,off,1,10.0,30,0.0,1.0
0.0006836605096872336,-0.23337204143070167,0.0,0.0,0.9997152424077784,off,5,10.0,1,0.0,1.0
0.000682362065403423,-0.21342641768021453,0.0,0.0,1.0007735175731283,off,5,10.0,2,0.0,1.0
0.0006841539442033884,-0.2976607190173435,0.0,0.0,0.9991893596087514,off,5,10.0,3,0.0,1.0
0.0006806541415079232,-0.3450000100381674,0.0,0.0,1.002713020487849,off,5,10.0,4,0.0,1.0
0.0006841683604346193,-0.2407386934064859,0.0,0.0,1.0031636404512254,off,5,10.0,5,0.0,1.0
0.0006838014349227665,-0.30414204611727635,0.0,0.0,1.0008861580721606,off,5,10.0,6,0.0,1.0
0.0006813322198132881,-0.3972580067004796,0.0,0.0,1.0005704928785908,off,5,10.0,7,0.0,1.0
0.0006811129910440866,-0.3409718507452886,0.0,0.0,0.9997371447883286,off,5,10.0,8,0.0,1.0
0.0006857965575897688,-0.32760188187337347,0.0,0.0,0.9962982976743675,off,5,10.0,9,0.0,1.0
0.0006850650156337185,-0.25312346900618454,0.0,0.0,1.0005558795297902,off,5,10.0,10,0.0,1.0
0.0006830647226364796,-0.22893476646179378,0.0,0.0,1.0009002983337947,off,5,10.0,11,0.0,1.0
0.0006858432372695334,-0.27075336760305024,0.0,0.0,0.9999963256827303,off,5,10.0,12,0.0,1.0
0.0006841200301617444,-0.2736177500337904,0.0,0.0,1.0007309585622735,off,5,10.0,13,0.0,1.0
0.000683083327564006,-0.4083090129968725,0.0,0.0,0.9998837030182722,off,5,10.0,14,0.0,1.0
0.0006842387467693643,-0.28484803050517105,0.0,0.0,0.9967278916996588,off,5,10.0,15,0.0,1.0
0.0006847326214779683,-0.2304449006787146,0.0,0.0,1.0014666292898236,off,5,10.0,16,0.0,1.0
0.0006872912485909624,-0.22888376464898785,0.0,0.0,1.0009206682103216,off,5,10.0,17,0.0,1.0
0.000681979729368446,-0.35748164035560803,0.0,0.0,1.0031233191856679,off,5,10.0,18,0.0,1.0
0.0006824981951075018,-0.3729802128276196,0.0,0.0,0.9993100874192106,off,5,10.0,19,0.0,1.0
0.0006840325802172929,-0.3374178746209693,0.0,0.0,1.0011255441228624,off,5,10.0,20,0.0,1.0
